key,value
risk.processGovernance,Low
status.ragRating,Amber
status.goLiveReady,No
status.mandatoryPassRate,69.8
status.criticalPassRate,68.2
status.highPassRate,68.4
status.totalBlockingIssues,42
trend.totalIssues,46
trend.criticalIssues,14
trend.overallCompliance,69.9
trend.accessibilityCompliance,69.2
trend.performanceCompliance,45
trend.securityCompliance,63.6
trend.developmentCompliance,75.3
topIssues.count,10
topIssues.1.auditType,Code Audit
topIssues.1.phase,Development
topIssues.1.group,HTML Forms & Inputs
topIssues.1.subGroup,Forms
topIssues.1.severity,Critical
topIssues.1.mandatory,Yes
topIssues.1.description,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters
topIssues.1.evidence,
topIssues.2.auditType,Code Audit
topIssues.2.phase,Development
topIssues.2.group,HTML Forms & Inputs
topIssues.2.subGroup,Forms
topIssues.2.severity,Critical
topIssues.2.mandatory,Yes
topIssues.2.description,Accessible names for interactive elements
topIssues.2.evidence,
topIssues.3.auditType,Code Audit
topIssues.3.phase,Development
topIssues.3.group,HTML Metadata & Validation
topIssues.3.subGroup,Validation
topIssues.3.severity,Critical
topIssues.3.mandatory,Yes
topIssues.3.description,HTML validates without errors
topIssues.3.evidence,
topIssues.4.auditType,Code Audit
topIssues.4.phase,Development
topIssues.4.group,CSS Architecture & Tokens
topIssues.4.subGroup,Design Tokens
topIssues.4.severity,Critical
topIssues.4.mandatory,Yes
topIssues.4.description,No hardcoded hex/rgb color values
topIssues.4.evidence,
topIssues.5.auditType,Code Audit
topIssues.5.phase,Development
topIssues.5.group,JavaScript Architecture & Loading
topIssues.5.subGroup,Loading
topIssues.5.severity,Critical
topIssues.5.mandatory,Yes
topIssues.5.description,No blocking scripts in head
topIssues.5.evidence,
topIssues.6.auditType,Code Audit
topIssues.6.phase,Accessibility
topIssues.6.group,Accessibility - WCAG Core
topIssues.6.subGroup,WCAG Core
topIssues.6.severity,Critical
topIssues.6.mandatory,Yes
topIssues.6.description,WCAG 2.1 AA compliance met
topIssues.6.evidence,
topIssues.7.auditType,Code Audit
topIssues.7.phase,Security
topIssues.7.group,Security - Client-Side Code
topIssues.7.subGroup,Scripts
topIssues.7.severity,Critical
topIssues.7.mandatory,Yes
topIssues.7.description,No eval() or Function(string) usage
topIssues.7.evidence,
topIssues.8.auditType,Code Audit
topIssues.8.phase,Security
topIssues.8.group,Security - Data & Secrets
topIssues.8.subGroup,Secrets
topIssues.8.severity,Critical
topIssues.8.mandatory,Yes
topIssues.8.description,No hardcoded API keys or secrets in source
topIssues.8.evidence,
topIssues.9.auditType,Code Audit
topIssues.9.phase,Development
topIssues.9.group,Code Quality - Hygiene & Safety
topIssues.9.subGroup,Static Safety
topIssues.9.severity,Critical
topIssues.9.mandatory,Yes
topIssues.9.description,Zero lint errors (ESLint/Stylelint)
topIssues.9.evidence,
topIssues.10.auditType,Browser Audit
topIssues.10.phase,Accessibility
topIssues.10.group,Accessibility - WCAG Core
topIssues.10.subGroup,WCAG Core
topIssues.10.severity,Critical
topIssues.10.mandatory,Yes
topIssues.10.description,Lighthouse accessibility score >= 90 in Browser Audit Lighthouse panel; zero critical (wcag2a/wcag2aa) accessibility violations reported; all flagged items reviewed and addressed or documented
topIssues.10.evidence,https://www.sydney.edu.au/
components.count,0
components.1.name,
components.1.path,
components.1.failedChecks,
components.1.criticalFailures,
components.1.healthScore,
components.2.name,
components.2.path,
components.2.failedChecks,
components.2.criticalFailures,
components.2.healthScore,
components.3.name,
components.3.path,
components.3.failedChecks,
components.3.criticalFailures,
components.3.healthScore,
components.4.name,
components.4.path,
components.4.failedChecks,
components.4.criticalFailures,
components.4.healthScore,
components.5.name,
components.5.path,
components.5.failedChecks,
components.5.criticalFailures,
components.5.healthScore,
